,press_date,press_name,ranking,title
137,2024. 9. 16. 월,YTN,9,고속도로 2차 사고 주의!...브레이크 이렇게 밟아야
138,2024. 9. 16. 월,한국경제,1,"줄줄이 문 닫더니…""가성비 미쳤네"" 오픈런까지 '반전 대박'"
139,2024. 9. 16. 월,한국경제,2,"양수 터진 임신부, 병원 75곳서 거부 당해…6시간 만에 치료"
140,2024. 9. 16. 월,한국경제,3,"""파산하겠네"" 부모들 큰일 났다더니…2030까지 푹 빠졌다 [현장+]"
141,2024. 9. 16. 월,한국경제,4,"바다서 438일 표류하다 생존한 男…""식인종 비난 시달려"" 호소"
142,2024. 9. 16. 월,한국경제,5,"""뉴진스 인기상품 취급""…김앤장 출신 변호사, 하이브 '일침'"
143,2024. 9. 16. 월,한국경제,6,"SNS 싹 정리한 정용진, 반년 만에 올린 '티셔츠' 사진이…"
144,2024. 9. 16. 월,한국경제,7,"""망치로 겁주고 방에 가둬 폭행""…아동학대 父 알고 보니"
145,2024. 9. 16. 월,한국경제,8,"""한 순간에 장애인 됐다""…팔 찢어진 한 40대 가장의 '호소'"
146,2024. 9. 16. 월,한국경제,9,대전 명물 '성심당 대전역점' 희소식 전해졌다…무슨 일이?
147,2024. 9. 16. 월,한국경제,10,그 많던 중고차는 어디로…'전기차' 사들이더니 벌어진 일
148,2024. 9. 16. 월,아시아경제,1,"""4년만에 합격했는데 갈 곳 없네"" 씁쓸한 추석맞은 CPA 합격생"
149,2024. 9. 16. 월,아시아경제,2,"""내 아내인 것 같은데 확인좀""…음란물 보다가 분석 의뢰하는 남편들 '황당'"
150,2024. 9. 16. 월,아시아경제,3,"""1년에 2억5000만원 벌어요""…졸업하면 부자 되는 '이 대학'"
151,2024. 9. 16. 월,아시아경제,4,"미코 출신 레이싱모델 신해리, 향년 32세로 사망"
152,2024. 9. 16. 월,아시아경제,5,1700원짜리 5000원 주고 먹었는데…판매량 '뚝' 떨어진 이 과자
153,2024. 9. 16. 월,아시아경제,6,"'오빠 사랑해' 낙서에…""한국인 자수하세요"" 분노한 외국인 유튜버"
154,2024. 9. 16. 월,아시아경제,7,손흥민 잔디 지적에 신속 대응한 서울시…아이유 콘서트 어쩌나
155,2024. 9. 16. 월,아시아경제,8,"횡성휴게소 벤츠 화재, 비번 소방관들이 10분만에 진압"
156,2024. 9. 16. 월,아시아경제,9,"""명절 집안일 힘들어""…'가짜 깁스'하다 걸린 며느리"
157,2024. 9. 16. 월,아시아경제,10,'초봉 2.6억'이지만 워라밸 없었다…주 100시간 일하다 사망한 직원
158,2024. 9. 16. 월,경향신문,1,"강남역 뒤덮은 분노의 목소리 “여가부 공석 방치하는 정부, 딥페이크 가해자들 비웃는다”"
159,2024. 9. 16. 월,경향신문,2,"‘개통령’ 강형욱 새 출발...“솔루션 필요한 반려견, 100% 무료”"
160,2024. 9. 16. 월,경향신문,3,"응급실 4곳 “못 받아” 잘린 손가락 들고 발동동, 100㎞ 밖 병원 2시간만에"
161,2024. 9. 16. 월,경향신문,4,"김건희 여사, 연이은 공개 행보…야당 “김 여사 가야 할 곳, 특검 조사실”"
162,2024. 9. 16. 월,경향신문,5,"변희재 “방시혁 뉴진스 죽이기, 하이브 가치 박살···주주 손배청구해야”"
163,2024. 9. 16. 월,경향신문,6,김건희 여사 마포대교 방문이 ‘통치자’처럼 보이는 이유
164,2024. 9. 16. 월,경향신문,7,"“실언이오” “제거해야”···김문수같은 ‘일본 국적’ 발언, 제헌국회 땐 더 혼났다"
165,2024. 9. 16. 월,경향신문,8,‘무자본 갭투자’ 49채 굴리다 전세금 못 돌려준 교육부 공무원…징계는 ‘견책’
166,2024. 9. 16. 월,경향신문,9,"‘민간인 최초 우주유영’ 폴라리스 던, 지구 귀환 성공"
167,2024. 9. 16. 월,경향신문,10,국내 최대 ‘대하 축제’ 열린다…추석 연휴 인기 여행지는?
168,2024. 9. 15. 일,시사저널,1,"조국 ""尹, 한동훈 '데리고 있던 꼬마가 덤비네?' 생각해 꼴 보기 싫을 것"""
